name,type,score,raitings,hex,rgb,category,marca
rebel red,exprclassic,4,38,#f31552,"rgb(243,21,21)",pinks,sally hansen
jazzy jade,exprclassic,4,38,#049b9a,"rgb(4,155,155)",greens,sally hansen
strobe light,exprclassic,4,38,#c4a3ab,"rgb(196,163,163)",purples,sally hansen
first blush,exprclassic,4,38,#f6c1d3,"rgb(246,193,193)",pinks,sally hansen
tickled pink,exprclassic,4,38,#f9c4d4,"rgb(249,196,196)",pinks,sally hansen
mauve over,exprclassic,4,38,#8f464f,"rgb(143,70,70)",purples,sally hansen
giant peach,exprclassic,4,38,#f37781,"rgb(243,119,119)",pinks,sally hansen
bamboo shoot,exprclassic,4,38,#fbe3e1,"rgb(251,227,227)",pinks,sally hansen
pucker up,exprclassic,4,38,#e72035,"rgb(231,32,32)",reds,sally hansen
bare it all,exprclassic,4,38,#d99d81,"rgb(217,157,157)",nudes,sally hansen
pink punk,exprclassic,4,38,#e8235d,"rgb(232,35,35)",pinks,sally hansen
cherry red,exprclassic,4,38,#c71b37,"rgb(199,27,27)",reds,sally hansen
golden i,exprclassic,4,38,#dcc491,"rgb(220,196,196)",browns,sally hansen
sun kissed,exprclassic,4,38,#f58233,"rgb(245,130,130)",oranges,sally hansen
disco ball,exprclassic,4,38,#e9e5dd,"rgb(233,229,229)",grays,sally hansen
pink terest,gel couture,4,3018.5,#ee69a2,"rgb(238,105,105)",pinks,sally hansen
head bang,gel couture,4,3018.5,#8b6159,"rgb(139,97,97)",grays,sally hansen
electric pop,gel couture,4,3018.5,#ed526e,"rgb(237,82,82)",pinks,sally hansen
cream of the crop,gel couture,4,3018.5,#f2d7c1,"rgb(242,215,215)",nudes,sally hansen
off with her red!,gel couture,4,3018.5,#b92138,"rgb(185,33,33)",reds,sally hansen
bourbon belle,gel couture,4,3018.5,#ff7698,"rgb(255,118,118)",pinks,sally hansen
redgy,gel couture,4,3018.5,#d71e25,"rgb(215,30,30)",reds,sally hansen
bare dare,gel couture,4,3018.5,#e8dfac,"rgb(232,223,223)",nudes,sally hansen
neblue la,gel couture,4,3018.5,#254647,"rgb(37,70,70)",blues,sally hansen
o zone you didn't,gel couture,4,3018.5,#ced1ea,"rgb(206,209,209)",blues,sally hansen
apollo you anywhere,gel couture,4,3018.5,#e4303c,"rgb(228,48,48)",reds,sally hansen
satel lite pink,gel couture,4,3018.5,#e18288,"rgb(225,130,130)",pinks,sally hansen
saturn it up!,gel couture,4,3018.5,#de7887,"rgb(222,120,120)",pinks,sally hansen
out of this pearl,gel couture,4,3018.5,#e0c1bb,"rgb(224,193,193)",pinks,sally hansen
red-y set run!,gel couture,4,3018.5,#c82248,"rgb(200,34,34)",pinks,sally hansen
onyx pected,gel couture,4,3018.5,#000003,"rgb(0,0,0)",blacks,sally hansen
stilettos & studs,gel couture,4,3018.5,#4d4c52,"rgb(77,76,76)",grays,sally hansen
slate r girl,gel couture,4,3018.5,#6e7079,"rgb(110,112,112)",grays,sally hansen
greyfitti,gel couture,4,3018.5,#a4afba,"rgb(164,175,175)",blues,sally hansen
get mad,gel couture,4,3018.5,#f2f2eb,"rgb(242,242,242)",whites,sally hansen
leaf me be,gel couture,4,3018.5,#3c4940,"rgb(60,73,73)",grays,sally hansen
combustealble,gel couture,4,3018.5,#007c80,"rgb(0,124,124)",blues,sally hansen
mintage,gel couture,4,3018.5,#74b6b2,"rgb(116,182,182)",blues,sally hansen
beet pray love,gel couture,4,3018.5,#892c3f,"rgb(137,44,44)",purples,sally hansen
jealous boyfriend,gel couture,4,3018.5,#092823,"rgb(9,40,40)",blues,sally hansen
lets get digital,gel couture,4,3018.5,#9fb0bb,"rgb(159,176,176)",blues,sally hansen
swim upstream,gel couture,4,3018.5,#0e4e6a,"rgb(14,78,78)",blues,sally hansen
flash ionista,gel couture,4,3018.5,#54aede,"rgb(84,174,174)",blues,sally hansen
sugar fix,gel couture,4,3018.5,#4b89c6,"rgb(75,137,137)",blues,sally hansen
tidal wave,gel couture,4,3018.5,#01519e,"rgb(1,81,81)",blues,sally hansen
midnight mod,gel couture,4,3018.5,#111725,"rgb(17,23,23)",blues,sally hansen
purplexed,gel couture,4,3018.5,#3c2f69,"rgb(60,47,47)",purples,sally hansen
wild for violet,gel couture,4,3018.5,#521e42,"rgb(82,30,30)",purples,sally hansen
street flair,gel couture,4,3018.5,#87668c,"rgb(135,102,102)",purples,sally hansen
boho a go go,gel couture,4,3018.5,#3a1539,"rgb(58,21,21)",purples,sally hansen
orchid ing aside,gel couture,4,3018.5,#e19fff,"rgb(225,159,159)",purples,sally hansen
hunger flames,gel couture,4,3018.5,#9c4c9a,"rgb(156,76,76)",purples,sally hansen
pink stiletto,gel couture,4,3018.5,#9b215e,"rgb(155,33,33)",purples,sally hansen
mad women,gel couture,4,3018.5,#af1c57,"rgb(175,28,28)",pinks,sally hansen
love me lilac,gel couture,4,3018.5,#a67b8e,"rgb(166,123,123)",purples,sally hansen
cabernet with bae,gel couture,4,3018.5,#1b0021,"rgb(27,0,0)",blues,sally hansen
v amplified,gel couture,4,3018.5,#63293b,"rgb(99,41,41)",purples,sally hansen
wine stock,gel couture,4,3018.5,#380005,"rgb(56,0,0)",reds,sally hansen
can't beet royalty,gel couture,4,3018.5,#7b1e29,"rgb(123,30,30)",pinks,sally hansen
bordeaux glow,gel couture,4,3018.5,#ba1b52,"rgb(186,27,27)",purples,sally hansen
dig fig,gel couture,4,3018.5,#751018,"rgb(117,16,16)",reds,sally hansen
rhapsody red,gel couture,4,3018.5,#b30016,"rgb(179,0,0)",reds,sally hansen
red eye,gel couture,4,3018.5,#d71c26,"rgb(215,28,28)",reds,sally hansen
poppy patch,gel couture,4,3018.5,#e10012,"rgb(225,0,0)",reds,sally hansen
world wide red,gel couture,4,3018.5,#ea3c30,"rgb(234,60,60)",reds,sally hansen
malibu peach,gel couture,4,3018.5,#f16659,"rgb(241,102,102)",reds,sally hansen
pink tank,gel couture,4,3018.5,#b81442,"rgb(184,20,20)",pinks,sally hansen
tipsy gypsy,gel couture,4,3018.5,#d41a5c,"rgb(212,26,26)",pinks,sally hansen
pink up,gel couture,4,3018.5,#e93583,"rgb(233,53,53)",pinks,sally hansen
shock wave,gel couture,4,3018.5,#eb659b,"rgb(235,101,101)",pinks,sally hansen
pink cadillaquer,gel couture,4,3018.5,#e878a4,"rgb(232,120,120)",pinks,sally hansen
proper p rose,gel couture,4,3018.5,#bc1f6c,"rgb(188,31,31)",pinks,sally hansen
pink promise,gel couture,4,3018.5,#e691a5,"rgb(230,145,145)",pinks,sally hansen
little peony,gel couture,4,3018.5,#ffdef9,"rgb(255,222,222)",pinks,sally hansen
in the sheer,gel couture,4,3018.5,#f4b9cb,"rgb(244,185,185)",pinks,sally hansen
mauve olous,gel couture,4,3018.5,#cd7778,"rgb(205,119,119)",pinks,sally hansen
smartease,gel couture,4,3018.5,#f0a7bb,"rgb(240,167,167)",pinks,sally hansen
regal rose,gel couture,4,3018.5,#f8bfbe,"rgb(248,191,191)",pinks,sally hansen
plush blush,gel couture,4,3018.5,#f7e1e9,"rgb(247,225,225)",nudes,sally hansen
birthday suit,gel couture,4,3018.5,#ddbbb0,"rgb(221,187,187)",nudes,sally hansen
totem ly yours,gel couture,4,3018.5,#9f6d5c,"rgb(159,109,109)",browns,sally hansen
adrenaline crush,gel couture,4,3018.5,#938584,"rgb(147,133,133)",grays,sally hansen
terra coppa,gel couture,4,3018.5,#b47062,"rgb(180,112,112)",browns,sally hansen
sheer happiness,gel couture,4,3018.5,#ffdfd0,"rgb(255,223,223)",nudes,sally hansen
frill seeker,gel couture,4,3018.5,#ce8775,"rgb(206,135,135)",pinks,sally hansen
per suede,gel couture,4,3018.5,#af503e,"rgb(175,80,80)",browns,sally hansen
shhhh immer,gel couture,4,3018.5,#b76e8b,"rgb(183,110,110)",purples,sally hansen
spice age,gel couture,4,3018.5,#4d2520,"rgb(77,37,37)",browns,sally hansen
game of chromes,gel couture,4,3018.5,#b18c67,"rgb(177,140,140)",browns,sally hansen
mocha me crazy,gel couture,4,3018.5,#b18d7f,"rgb(177,141,141)",nudes,sally hansen
quartz and kisses,gel couture,4,3018.5,#a45695,"rgb(164,86,86)",purples,sally hansen
eternally grapefruit,gel couture,4,3018.5,#e280a1,"rgb(226,128,128)",pinks,sally hansen
sundown socialite,gel couture,4,3018.5,#d5724c,"rgb(213,114,114)",reds,sally hansen
sprinkled with love,gel couture,4,3018.5,#417f77,"rgb(65,127,127)",blues,sally hansen
metro midnight,gel couture,4,3018.5,#cc9293,"rgb(204,146,146)",pinks,sally hansen
